YEAR,COUNTRY,STATE/PROVINCE,SPECIES_CODE,COMMON_NAME,INVASIVE,TOTAL_COUNTED,AVERAGE_COUNTED,LOCATIONS
2000,US,UT,haiwoo,Hairy Woodpecker,0,6.0,1.5,3
2000,US,UT,houfin,House Finch,0,4206.0,12.555223880597016,55
2000,US,UT,houspa,House Sparrow,1,7066.0,28.723577235772357,44
2000,US,UT,juntit1,Juniper Titmouse,0,1.0,1.0,1
2000,US,UT,mouchi,Mountain Chickadee,0,103.0,2.019607843137255,21
2000,US,UT,norfli,Northern Flicker,0,149.0,1.3303571428571428,33
2000,US,UT,whbnut,White-breasted Nuthatch,0,6.0,1.0,3
2000,US,CT,bnhnut,Brown-headed Nuthatch,0,6.0,3.0,2
2000,US,CT,borchi2,Boreal Chickadee,0,34.0,5.666666666666667,6
2000,US,CT,brncre,Brown Creeper,0,61.0,1.0166666666666666,30
2000,US,CT,carchi,Carolina Chickadee,0,26.0,1.7333333333333334,6
2000,US,CT,carwre,Carolina Wren,0,585.0,1.2012320328542094,152
2000,CA,PE,bkcchi,Black-capped Chickadee,0,269.0,3.4935064935064934,16
2000,CA,PE,borchi2,Boreal Chickadee,0,3.0,1.5,2
2000,US,MS,bkcchi,Black-capped Chickadee,0,2.0,2.0,1
2000,CA,NB,bkcchi,Black-capped Chickadee,0,1793.0,5.8980263157894735,57
2000,US,DC,dowwoo,Downy Woodpecker,0,27.0,1.125,5
2000,US,TX,grcfly,Great Crested Flycatcher,0,1.0,1.0,1
2000,US,DC,eursta,European Starling,1,100.0,10.0,4
2000,US,DC,houfin,House Finch,0,95.0,4.130434782608695,5
2000,US,AL,easblu,Eastern Bluebird,0,162.0,2.16,34
2000,US,AL,dowwoo,Downy Woodpecker,0,485.0,1.4222873900293256,74
2000,US,AL,carwre,Carolina Wren,0,626.0,1.4976076555023923,91
2000,US,AL,carchi,Carolina Chickadee,0,1323.0,2.329225352112676,103
2000,US,GA,bewwre,Bewick's Wren,0,1.0,1.0,1
2000,US,OH,yebsap,Yellow-bellied Sapsucker,0,54.0,1.3170731707317074,16
2000,US,OH,y00326,Oak/Juniper Titmouse (Plain Titmouse),0,1.0,1.0,1
2000,US,OH,y00033,Carolina/Black-capped Chickadee,0,1659.0,2.9572192513368982,115
2000,US,OH,y00019,Yellow-bellied/Red-naped Sapsucker,0,1.0,1.0,1
2000,US,AL,eursta,European Starling,1,386.0,4.825,24
2000,US,OH,winwre3,Winter Wren,0,1.0,1.0,1
2000,US,OH,tuftit,Tufted Titmouse,0,5599.0,2.2956129561295615,457
2000,US,OH,rehwoo,Red-headed Woodpecker,0,47.0,1.2702702702702702,19
2000,US,OH,rebwoo,Red-bellied Woodpecker,0,2347.0,1.2645474137931034,398
2000,US,OH,norfli,Northern Flicker,0,419.0,1.3217665615141956,133
2000,US,OH,mouchi,Mountain Chickadee,0,5.0,5.0,1
